Authors,Authors (full),Title,Year,Journal,Identification,Method,Data Sources,Country,Main Results,Abstract,Link
Iyengar,Radha Iyengar,Does the Certainty of Arrest Reduce Domestic Violence? Evidence from Mandatory and Recommended Arrest Laws,2009,Journal of Public Economics,Mandatory arrest laws,Difference in Differences,FBI's Uniform Crime Reporting Supplemental Homicide Reports,United States,Increase in intimate partner homicides,"Domestic violence remains a major public policy concern despite two decades of policy intervention. To eliminate police inaction in response to domestic violence, many states have passed mandatory arrest laws, which require the police to arrest abusers when a domestic violence incident is reported. Using the FBI Supplementary Homicide Reports, I find that mandatory arrest laws actually increased intimate partner homicides. I discuss two potential mechanisms for this increase in homicides: decreased reporting by victims and increased reprisal by abusers. I investigate validity of these hypotheses by examining the effect of mandatory arrest laws on different sub-groups and by analyzing family homicides where the victim is less often responsible for reporting. There appears to be consistent evidence for the reporting mechanisms. For family homicides, mandatory arrest laws appear to reduce the number of homicides. This study therefore provides evidence that these laws may have perverse effects on intimate partner violence, harming the very people they seek to help.",https://www.sciencedirect.com/science/article/abs/pii/S0047272708001345
Miller & Segal,Amalia Miller and Carmit Segal,Do Female Officers Improve Law Enforcement Quality? Effects on Crime Reporting and Domestic Violence,2019,Review of Economic Studies,Integration of women in U.S. policing,OLS with fixed effects,FBI's Uniform Crime Reporting Supplemental Homicide Reports;  Law Enforcement Officers Killed or Assaulted,United States,"Reporting of crime victimization by women, including domestic violence, increases","We study the impact of the integration of women in U.S. policing between the late 1970s and early 1990s on violent crime reporting and domestic violence (DV). Along these two key dimensions, we find that female officers improved police quality. Crime victimization data reveal that as female representation increases among officers in an area, violent crimes against women in that area, and especially DV, are reported to the police at significantly higher rates. There are no such effects for violent crimes against men or from increases in the female share of civilian police employees. Furthermore, increases in female officer shares are followed by significant declines in rates of intimate partner homicide and non-fatal domestic abuse. These effects are all consistent between fixed effects models with controls for economic and policy variables and models that focus exclusively on increases in female police employment driven by externally imposed affirmative action plans following litigation for employment discrimination.",https://academic.oup.com/restud/article/86/5/2220/5101317
Mathur & Slavov,Aparna Mathur and Sita N Slavov,The impact of legislative change on reported domestic violence against women in India,2017,Economics Bulletin,Political reservations for women in states and union territories; Change in state-level inheritance laws,Difference in Differences,"National Family Health Survey, India - Waves I, II, III",India,Improved representation increased the reported probability of violence whereas inheritance laws did not have any effect,"This paper investigates whether two legislative changes aimed at empowering women did in fact lower the risk of domestic violence for women in India. We use the National Family Health Survey, a nationally representative household dataset to explore this issue. We exploit a legislative change geared at improving the political representation of women by reserving at least one-third of seats in the local Panchayats for women. The change to representation was implemented at different dates depending on the timing of elections. The second change is a natural experiment wherein five states made amendments to their inheritance laws allowing daughters equal status as sons in the right to inherit the joint property of the father. We use this arguably exogenous variation to study whether the improvement in women's autonomy in these states as a result of the passage of this law had any impact on the likelihood that they report being victims of domestic abuse. Our results suggest that improved representation increased the reported probability of violence. There are two competing explanations for these results. First, women may have experienced retaliation by men who feared the erosion of their power and opposed the policy change. Second, the policy change may have made women more willing to report violence to interviewers.",https://ideas.repec.org/a/ebl/ecbull/eb-17-00193.html
"Sims, Wang & Wolfe","Kaitlyn Sims, Yang Wang and Barbara Wolfe",Estimating impacts of the US EITC program on domestic violence,2024,Review of Economics of Household,Earned Income Tax Credits (EITC),Two-Way Fixed Effects,FBI's Uniform Crime Reporting Supplemental Homicide Reports; NBER database for EITC; US Census Bureau; Bureau of Labor Statistics; University of Kentucky Center for Poverty Research,United States,No significant effect on lethal IPV or DV,"Despite the long-identified relationship between poverty and risk for intimate partner violence (IPV) and non-intimate partner domestic violence (DV), there is limited work on the relationship between public anti-poverty programs and the incidence of such violence in the United States. In this study, we examine the effect of state Earned Income Tax Credits (EITC) on reports of lethal IPV and DV, a previously unstudied relationship. We offer a conceptual framework for understanding the potentially countervailing mechanisms by which state EITCs could affect lethal violence. We use a combination of empirical strategies, including new econometric estimators, to causally identify how changes in state EITCs affect the rate of reported IPV and DV, measured as homicide rates per 100,000 population. We find no significant causal effects of state EITC (presence or relative generosity) on lethal IPV or DV at a population level. Our work provides insight into the mechanisms at play, and suggests a role for more targeted policy interventions to mitigate individual effects.",https://link.springer.com/article/10.1007/s11150-024-09702-z
Denti & Iammarino,Daria Denti & Simona Iammarino,Coming Out of the Woods. Do local support services influence the propensity to report sexual violence?,2022,Journal of Economic Behaviour and Organization,Geographic variation in local support services in the UK after the introduction of the austerity program,Synthetic Control Method; Difference in Differences , ,United Kingdom,Victims' propensity to report increases,"Sexual crimes against women are severely underreported to the police, allowing for impunity of perpetrators. Observers suggest that a stimulus towards reporting the crime comes from nearby support services for victims of sexual offences - like refuges and ad- visors. Still, the evidence about the effects of nearby support on the reporting of sexual crimes remains scattered and mainly qualitative. This paper provides quantitative evidence on this effect, by exploiting the uneven geography of local support services which resulted in the UK after the introduction of the austerity program. Findings highlight a positive net effect of the provision of local support services on the victims' propensity to report. The positive effect holds also in the aftermath of a space-neutral high-impact media campaign empowering women to report sexual violence. This evidence relates to relevant policy im- plications, given that in some countries the austerity-driven cuts to public budgets have reduced and dispersed the local availability of support services, making digital support and/or helpline the only available options in many places.",https://www.sciencedirect.com/science/article/abs/pii/S0167268121004972
Amuedo-Dorantes & Arenas-Arroyo,Catalina Amuedo-Dorantes and Esther Arenas-Arroyo,Police trust and domestic violence among immigrants: evidence from VAWA self-petitions,2022,Journal of Economic Geography,Temporal and geographic variation in the adoption of interior immigration enforcement and sanctuary policies,OLS with fixed effects,USCIS through a FOIA request; US Census Bureau ,United States,Sanctuary policies can help boost the rate of VAWA self-petitions.,"Domestic violence is a serious under-reported crime in the United States, especially among immigrant women. The Violence Against Women Act (VAWA) was an attempt to partially address this problem by allowing battered immigrants to petition for legal status without relying on the sponsorship of an abusive U.S. citizen or legal permanent resident spouse. The tougher immigration policy climate may have made immigrant women more vulnerable to domestic violence, as well as more reluctant to report domestic violence to law enforcement. Sanctuary policies, which limit local law enforcement's cooperation with federal immigration authorities, may counteract these effects. After exploiting the temporal and geographic variation in the adoption of interior immigration enforcement and sanctuary policies, we can successfully identify the impact of sanctuary policies, which help boost the rate of VAWA self-petitions. Additionally, we provide suggestive evidence of the channel through which this impact is likely taking place - namely through victims' increased willingness to report cases and leave their abusers. Understanding survivors' responses to immigration policy is crucial given growing police mistrust and immigrants' vulnerability to crime.",https://academic.oup.com/joeg/article-abstract/22/2/395/6199577?redirectedFrom=fulltext
Aizer,Anna Aizer,The Gender Wage Gap and Domestic Violence,2010,The American Economic Review,Wage gap,OLS with fixed effects,Female hospitalizations from California Health Care Data; US Census Bureau; Bureau of Economic Analysis,United States,Decreases in the wage gap reduce violence against women,"Three quarters of all violence against women is perpetrated by domestic partners. This study exploits exogenous changes in the demand for labor in female-dominated industries to estimate the impact of the male-female wage gap on domestic violence. Decreases in the wage gap reduce violence against women, consistent with a household bargaining model. These findings shed new light on the health production process as well as observed income gradients in health and suggest that in addition to addressing concerns of equity and efficiency, pay parity can also improve the health of American women via reductions in violence.",https://www.aeaweb.org/articles?id=10.1257/aer.100.4.1847
Aizer & Dal Bo,Anna Aizer and Pedro Dal Bo,"Love, hate and murder: Commitment devices in violent relationships",2009,Journal of Public Economics,No-drop policies (which compel the prosecutor to continue with prosecution even if the victim expresses a desire to drop the charges,Two-Way Fixed Effects,FBI's Uniform Crime Reporting Supplemental Homicide Reports; Female hospitalizations from California Health Care Data; US Census Bureau; Bureau of Economic Analysis,United States,Increase in reporting of intimate partner violence; Decrease in the number of men murdered by intimate,Many violent relationships are characterized by a high degree of cyclicality: women who are the victims of domestic violence often leave and return multiple times. To explain this we develop a model of time inconsistent preferences in the context of domestic violence. This time inconsistency generates a demand for commitment. We present supporting evidence that women in violent relationships display time inconsistent preferences by examining their demand for commitment devices. We find that no-drop policies -- which compel the prosecutor to continue with prosecution even if the victim expresses a desire to drop the charges -- result in an increase in reporting. No-drop policies also result in a decrease in the number of men murdered by intimates suggesting that some women in violent relationships move away from an extreme type of commitment device when a less costly one is offered.,https://www.sciencedirect.com/science/article/abs/pii/S0047272708001370
"Alesina, Brioschi & La Ferrara","Alberto Alesina, Benedetta Brioschi and Eliana La Ferrara",Violence Against Women: A Cross-cultural Analysis for Africa,2020,Economica,Ancestral characteristic,OLS with fixed effects,Demographic and Health Surveys,Africa,Endogamy and co-residence with the husband's family are positively associated with level and acceptance of domestic violence; Women being more likely to justify violence compared to men,"Using a new dataset, we investigate violence against women in Africa. We focus on cultural factors arising from pre-colonial customs, and show that these factors determined social norms about gender roles, family structures and intra-family violence, which persisted even when the initial conditions change. A first set of ancestral characteristics relates to women's economic role: ethnic groups where women participated less in production (e.g. due to plough agriculture, husbandry or fishing) have higher levels of violence against women today, and more acceptance of it. A second set of ancestral characteristics pertains to marriage patterns and living arrangements. Endogamy and co-residence with the husband's family are strongly positively associated with both the level and the acceptance of domestic violence. We also uncover a sizeable gender gap in attitudes towards violence, with women being more likely to justify violence compared to men. This gap is predicted by differences in demographic characteristics and by ancestral characteristics, such as co-residence with the husband's family and the use of the plough. Our analysis sheds light on the origin, and long-term persistence, of gender norms conducive to gender-based violence.",https://doi.org/10.1111/ecca.12343
"Amaral, Bhalotra & Prakash","Sofia Amaral, Sonia Bhalotra and  Nishith Prakash","Gender, Crime and Punishment: Evidence from Women Police Stations in India",2021,IZA Working Paper,Establishment of Women Police Stations,Difference in Differences,National Crime Records Bureau; Census of India; ,India,Increase in reporting of violence against women,"We examine the impact of establishing women police stations (WPS) on reporting of gender- based violence. Using administrative crime data and exploiting staggered implementation across Indian cities, we find that the opening of WPS is associated with an increase in police reports of crimes against women of 29 percent, a result driven by domestic violence. This appears to reflect reporting rather than incidence as we find no changes in femicide or in survey-reported domestic violence. We also find some evidence of an increase in women’s labor supply following WPS opening, consistent with women feeling safer once the costs of reporting violence fall.",https://www.iza.org/publications/dp/14250/gender-crime-and-punishment-evidence-from-women-police-stations-in-india
